2025-04-11T18:51:59.732313 - Login Attempt: Username: 
2025-04-11T18:51:59.732813 - Login Failure: Username: 
2025-04-11T18:52:22.855782 - Login Attempt: Username: savics
2025-04-11T18:52:22.857523 - Login Success: Username: savics
2025-04-11T19:12:41.599367 - Login Attempt: Account Number: 1234567890
2025-04-11T19:12:41.600144 - Login Success: Account Number: 1234567890
2025-04-11T19:14:27.899190 - Deposit: Account: Savings, Amount: 3000.0
2025-04-11T19:21:37.624015 - Login Attempt: Account Number: 1234567890
2025-04-11T19:21:37.624583 - Login Success: Account Number: 1234567890
2025-04-11T19:28:51.920474 - Login Attempt: Account Number: 1234567890
2025-04-11T19:28:51.920977 - Login Success: Account Number: 1234567890
2025-04-11T19:32:32.305292 - Login Attempt: Account Number: 1234567890
2025-04-11T19:32:32.306232 - Login Success: Account Number: 1234567890
2025-04-11T19:35:43.722029 - Login Attempt: Account Number: 1234567890
2025-04-11T19:35:43.722522 - Login Success: Account Number: 1234567890
2025-04-11T19:38:33.770719 - Login Attempt: Account Number: 1234567890
2025-04-11T19:38:33.771198 - Login Success: Account Number: 1234567890
2025-04-11T19:41:15.014227 - Login Attempt: Account Number: 1234567890
2025-04-11T19:41:15.014787 - Login Success: Account Number: 1234567890
2025-04-11T19:41:37.473173 - Login Attempt: Account Number: 1234567890
2025-04-11T19:41:37.473828 - Login Success: Account Number: 1234567890
2025-04-11T19:43:18.431173 - Login Attempt: Account Number: 1234567890
2025-04-11T19:43:18.431787 - Login Success: Account Number: 1234567890
2025-04-11T19:58:43.299181 - Login Attempt: Account Number: 1234567890
2025-04-11T19:58:43.299927 - Login Success: Account Number: 1234567890
2025-04-11T20:16:38.963522 - Login Attempt: Account Number: 1234567890
2025-04-11T20:16:38.964114 - Login Success: Account Number: 1234567890
2025-04-11T20:19:30.213012 - Login Attempt: Account Number: 1234567890
2025-04-11T20:19:30.213579 - Login Success: Account Number: 1234567890
2025-04-11T20:20:54.767292 - Login Attempt: Account Number: 1234567890
2025-04-11T20:20:54.767878 - Login Success: Account Number: 1234567890
2025-04-11T20:21:50.146931 - Login Attempt: Account Number: 1234567890
2025-04-11T20:21:50.147530 - Login Success: Account Number: 1234567890
2025-04-12T10:32:03.982428 - Login Attempt: Account Number: 1234567890
2025-04-12T10:32:03.983080 - Login Success: Account Number: 1234567890
2025-04-12T10:33:03.150490 - Login Attempt: Account Number: 1234567890
2025-04-12T10:33:03.151310 - Login Success: Account Number: 1234567890
2025-04-12T10:43:32.319307 - Login Attempt: Account Number: 1234567890
2025-04-12T10:43:32.320153 - Login Success: Account Number: 1234567890
2025-04-12T10:44:20.582461 - Login Attempt: Account Number: 1234567890
2025-04-12T10:44:20.583829 - Login Success: Account Number: 1234567890
2025-04-12T10:45:16.653951 - Login Attempt: Account Number: 1234567890
2025-04-12T10:45:16.654639 - Login Success: Account Number: 1234567890
2025-04-12T10:47:11.481055 - Login Attempt: Account Number: 1234567890
2025-04-12T10:47:11.481643 - Login Success: Account Number: 1234567890
2025-04-12T10:50:15.512466 - Login Attempt: Account Number: 1234567890
2025-04-12T10:50:15.513024 - Login Success: Account Number: 1234567890
2025-04-12T10:51:36.281245 - Login Attempt: Account Number: 1234567890
2025-04-12T10:51:36.281846 - Login Success: Account Number: 1234567890
2025-04-12T10:52:30.751332 - Login Attempt: Account Number: 1234567890
2025-04-12T10:52:30.752132 - Login Success: Account Number: 1234567890
2025-04-12T10:54:45.071429 - Login Attempt: Account Number: 1234567890
2025-04-12T10:54:45.072057 - Login Success: Account Number: 1234567890
2025-04-12T10:55:43.106128 - Login Attempt: Account Number: 1234567890
2025-04-12T10:55:43.106838 - Login Success: Account Number: 1234567890
2025-04-12T10:56:13.730709 - Login Attempt: Account Number: 1234567890
2025-04-12T10:56:13.731325 - Login Success: Account Number: 1234567890
2025-04-12T10:57:30.531937 - Login Attempt: Account Number: 1234567890
2025-04-12T10:57:30.532403 - Login Success: Account Number: 1234567890
2025-04-12T10:58:26.286725 - Login Attempt: Account Number: 1234567890
2025-04-12T10:58:26.287321 - Login Success: Account Number: 1234567890
2025-04-12T11:01:55.595746 - Login Attempt: Account Number: 1234567890
2025-04-12T11:01:55.596500 - Login Success: Account Number: 1234567890
2025-04-12T11:03:24.066207 - Login Attempt: Account Number: 1234567890
2025-04-12T11:03:24.066849 - Login Success: Account Number: 1234567890
2025-04-12T11:04:27.634106 - Login Attempt: Account Number: 1234567890
2025-04-12T11:04:27.634700 - Login Success: Account Number: 1234567890
2025-04-12T11:05:35.749254 - Login Attempt: Account Number: 1234567890
2025-04-12T11:05:35.749813 - Login Success: Account Number: 1234567890
2025-04-12T11:07:07.497221 - Login Attempt: Account Number: 1234567890
2025-04-12T11:07:07.497810 - Login Success: Account Number: 1234567890
2025-04-12T11:08:35.095614 - Login Attempt: Account Number: 1234567890
2025-04-12T11:08:35.096304 - Login Success: Account Number: 1234567890
2025-04-12T11:09:43.579929 - Login Attempt: Account Number: 1234567890
